Zip Code,City,State
94102,San Francisco,CA
94103,San Francisco,CA
94104,San Francisco,CA
94105,San Francisco,CA
94107,San Francisco,CA
94108,San Francisco,CA
94109,San Francisco,CA
94110,San Francisco,CA
94111,San Francisco,CA
94114,San Francisco,CA
94115,San Francisco,CA
94116,San Francisco,CA
94117,San Francisco,CA
94118,San Francisco,CA
94121,San Francisco,CA
94122,San Francisco,CA
94123,San Francisco,CA
94127,San Francisco,CA
94129,San Francisco,CA
94130,San Francisco,CA
94131,San Francisco,CA
94133,San Francisco,CA
94158,San Francisco,CA
94607,Oakland,CA
94608,Emeryville,CA
94609,Oakland,CA
94610,Oakland,CA
94611,Oakland,CA
94612,Oakland,CA
94618,Oakland,CA
94702,Berkeley,CA
94703,Berkeley,CA
94704,Berkeley,CA
94705,Berkeley,CA
94706,Berkeley,CA
94707,Berkeley,CA
94708,Berkeley,CA
94709,Berkeley,CA
94710,Berkeley,CA
94720,Berkeley,CA
